prompt_mode,alpha,seed_count,candidate_count,candidate_fraction,minimum_anchor_coverage,anchor_phrase_coverage,ontology_collapse_density,syntax_readability_proxy,readable_ontology_frontier,traceable_transport_score,surface_style_pressure,decoration_without_transport,cliche_attractor_score,fantasy_prop_score,semantic_loop_pressure,unbridged_novelty,object_budget_pressure,unfinished,decorative_near_miss_rate,stable_rate,readable_transport_rate,failure_rate,mixed_rate,anchor_full_rate,anchor_traceable_rate,item_id,seed
naive,0.0,1,8,1.0,0.0,0.9375,0.2223809523809524,0.66269907469055,0.07377869646522592,0.05241877407697948,0.125,0.047427453917538435,0.08333333333333333,0.146875,0.08297990983583028,0.7771846139937743,1.0,0.0,0.125,0.5,0.375,0.0,0.0,0.75,1.0,anchor03_spreadsheet_cursor,The spreadsheet remains open while the cursor blinks beside a coffee ring and the office fan turns.
naive,0.6,1,8,1.0,0.0,0.875,0.1817847892847893,0.6819972484580054,0.06295909570569094,0.05029459704634457,0.25,0.1307555744791661,0.20833333333333331,0.05,0.09163633447689176,0.7827361097128539,0.99296875,0.0,0.375,0.0,0.375,0.25,0.0,0.75,0.875,anchor03_spreadsheet_cursor,The spreadsheet remains open while the cursor blinks beside a coffee ring and the office fan turns.
naive,1.2,1,8,1.0,0.0,0.78125,0.5886028148477105,0.58886763678115,0.13969747528352325,0.04671173764585519,0.25,0.060346740658348386,0.5833333333333333,0.271875,0.05592519048303623,0.8254797081716787,1.0,0.15000000000000002,0.0,0.0,0.25,0.75,0.0,0.375,0.75,anchor03_spreadsheet_cursor,The spreadsheet remains open while the cursor blinks beside a coffee ring and the office fan turns.
operational,0.0,1,8,1.0,0.0,0.875,0.03187169312169312,0.6611528022283877,0.009381015205435434,0.0542653708893375,0.0,0.0,0.0,0.0,0.13285007694073322,0.7353106645509663,1.0,0.0,0.0,0.875,0.0,0.125,0.0,0.625,0.875,anchor03_spreadsheet_cursor,The spreadsheet remains open while the cursor blinks beside a coffee ring and the office fan turns.
operational,0.6,1,8,1.0,0.0,0.84375,0.019770591349506615,0.6586170629398889,0.005735758839358827,0.04778002347634212,0.041666666666666664,0.01448160855357811,0.041666666666666664,0.046875,0.19684063917348804,0.7323838048150295,0.9859375,0.0,0.0,0.875,0.0,0.125,0.0,0.5,0.875,anchor03_spreadsheet_cursor,The spreadsheet remains open while the cursor blinks beside a coffee ring and the office fan turns.
operational,1.2,1,8,1.0,0.0,0.65625,0.21513886350397796,0.6919402772429671,0.0624359854914492,0.03808432225265203,0.041666666666666664,0.026846626534044304,0.5,0.296875,0.21228092349874988,0.8499393029977111,1.0,0.05,0.0,0.125,0.0,0.875,0.0,0.375,0.5,anchor03_spreadsheet_cursor,The spreadsheet remains open while the cursor blinks beside a coffee ring and the office fan turns.
naive,0.0,1,8,1.0,0.0,1.0,0.1451388888888889,0.6638935409452837,0.053956152433135326,0.04922025594647835,0.25,0.1267501874000186,0.25,0.1,0.2344462158409247,0.7049928299732633,1.0,0.0,0.25,0.375,0.25,0.125,0.0,1.0,1.0,anchor04_bus_card,A bus card sits in a coat pocket while the handrail shines with rain.
naive,0.6,1,8,1.0,0.0,0.96875,0.5088819513819514,0.6379848867353218,0.16336269334971878,0.044033006279702455,0.20833333333333331,0.05894409225136502,0.29166666666666663,0.190625,0.2969072385580217,0.725317613358108,1.0,0.05,0.0,0.125,0.25,0.625,0.0,0.875,1.0,anchor04_bus_card,A bus card sits in a coat pocket while the handrail shines with rain.
naive,1.2,1,8,1.0,0.0,0.9375,0.6355806010928962,0.5945607960278316,0.20261547154216364,0.03713337300460295,0.25,0.05615274905561637,0.41666666666666663,0.2375,0.342930227892809,0.7420674419666355,1.0,0.10625,0.0,0.0,0.25,0.75,0.0,0.75,1.0,anchor04_bus_card,A bus card sits in a coat pocket while the handrail shines with rain.
operational,0.0,1,8,1.0,0.0,0.96875,0.07187658718279202,0.6706754933351493,0.024052303746941298,0.06050400079570795,0.0,0.0,0.08333333333333333,0.05,0.2841240322139238,0.632757909731594,0.971875,0.0,0.0,0.75,0.0,0.25,0.0,0.875,1.0,anchor04_bus_card,A bus card sits in a coat pocket while the handrail shines with rain.
operational,0.6,1,8,1.0,0.0,0.9375,0.20308618976651766,0.6996611797387159,0.06926470037723595,0.05890461070460631,0.041666666666666664,0.029260724331926863,0.16666666666666666,0.2,0.22893874643874643,0.6816531385281386,0.9645833333333333,0.0,0.125,0.5,0.375,0.0,0.0,0.75,1.0,anchor04_bus_card,A bus card sits in a coat pocket while the handrail shines with rain.
operational,1.2,1,8,1.0,0.0,0.96875,0.44497781403884773,0.724304569690319,0.15129619479461126,0.03703374568710924,0.3333333333333333,0.13541830628542337,0.41666666666666663,0.19375,0.3261437041553096,0.7455366820176603,1.0,0.0,0.25,0.0,0.125,0.625,0.0,0.875,1.0,anchor04_bus_card,A bus card sits in a coat pocket while the handrail shines with rain.
naive,0.0,1,8,1.0,0.0,0.96875,0.07151010308337896,0.6619569699180476,0.023850221232975224,0.0553245612613054,0.25,0.1495771871994026,0.20833333333333331,0.1,0.1495042601238307,0.6941547044873658,1.0,0.0,0.25,0.375,0.125,0.25,0.0,0.875,1.0,anchor05_delivery_label,A delivery label crosses a cardboard box beside a tape dispenser in the loading bay light.
naive,0.6,1,8,1.0,0.0,0.9375,0.20949074074074076,0.6848712775784953,0.06878823429079099,0.05924338445919031,0.3333333333333333,0.17517197244187738,0.29166666666666663,0.14375,0.09070739520805567,0.6773854968905024,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.75,1.0,anchor05_delivery_label,A delivery label crosses a cardboard box beside a tape dispenser in the loading bay light.
naive,1.2,1,8,1.0,0.0,0.875,0.3854057953826692,0.7145160212291687,0.1384566115919977,0.042301685755178016,0.4583333333333333,0.18516752297724132,0.6666666666666666,0.340625,0.2552024977594967,0.7230393832924605,1.0,0.0,0.25,0.0,0.125,0.625,0.0,0.75,0.75,anchor05_delivery_label,A delivery label crosses a cardboard box beside a tape dispenser in the loading bay light.
operational,0.0,1,8,1.0,0.0,0.90625,0.006666666666666667,0.671780062991685,0.0022147847401436695,0.08325777683339702,0.08333333333333333,0.040853292611311744,0.041666666666666664,0.0,0.08997873471557682,0.5653640578095037,0.9575520833333333,0.0,0.125,0.75,0.0,0.125,0.0,0.75,0.875,anchor05_delivery_label,A delivery label crosses a cardboard box beside a tape dispenser in the loading bay light.
operational,0.6,1,8,1.0,0.0,0.90625,0.001388888888888889,0.7233762786276047,0.0005135227436823105,0.057652514167671254,0.125,0.07903323464689091,0.0,0.0,0.06631524220533509,0.6638461225154774,0.99296875,0.0,0.375,0.625,0.0,0.0,0.0,0.625,1.0,anchor05_delivery_label,A delivery label crosses a cardboard box beside a tape dispenser in the loading bay light.
operational,1.2,1,8,1.0,0.0,0.84375,0.3074404761904762,0.6878807345588607,0.1132351568270296,0.06121347519112753,0.041666666666666664,0.012670073264543495,0.125,0.096875,0.19007214029347622,0.6273712183410459,0.9083333333333333,0.10625,0.0,0.0,0.5,0.5,0.0,0.5,0.875,anchor05_delivery_label,A delivery label crosses a cardboard box beside a tape dispenser in the loading bay light.
naive,0.0,1,8,1.0,0.0,0.65625,0.08091463789768392,0.6984343914113403,0.027935646218553004,0.04367384555911872,0.125,0.038828741757766023,0.041666666666666664,0.0,0.07074130639097745,0.8623404787220577,1.0,0.0,0.0,0.375,0.125,0.5,0.0,0.125,0.5,anchor06_fridge_lunchbox,"The fridge stands open beside a lunchbox, a grocery list, and a quiet kettle."
naive,0.6,1,8,1.0,0.0,0.59375,0.2136309523809524,0.7159579282744699,0.06787794667408911,0.04078096163647124,0.25,0.10545091330639418,0.3333333333333333,0.1,0.04563492063492063,0.8797290729905529,1.0,0.0,0.0,0.0,0.125,0.875,0.0,0.25,0.375,anchor06_fridge_lunchbox,"The fridge stands open beside a lunchbox, a grocery list, and a quiet kettle."
naive,1.2,1,8,1.0,0.0,0.59375,0.16217920569867292,0.6683912561964676,0.057009147675444356,0.035337887645273125,0.5416666666666666,0.15197395409200537,0.625,0.24375000000000002,0.11120975043188666,0.8959282011609672,1.0,0.05,0.125,0.0,0.0,0.875,0.0,0.375,0.375,anchor06_fridge_lunchbox,"The fridge stands open beside a lunchbox, a grocery list, and a quiet kettle."
operational,0.0,1,8,1.0,0.0,0.6875,0.08488923727072205,0.6977204794417246,0.026586542324961056,0.05068379558707856,0.0,0.0,0.0,0.0,0.03280336257309942,0.8146996941505937,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.375,0.5,anchor06_fridge_lunchbox,"The fridge stands open beside a lunchbox, a grocery list, and a quiet kettle."
operational,0.6,1,8,1.0,0.0,0.875,0.14265867548759076,0.7028014629080527,0.039142209611371666,0.05047788049491249,0.08333333333333333,0.031062974707102693,0.16666666666666666,0.253125,0.1331315183119088,0.7544330641186625,1.0,0.0,0.0,0.625,0.25,0.125,0.0,0.5,1.0,anchor06_fridge_lunchbox,"The fridge stands open beside a lunchbox, a grocery list, and a quiet kettle."
operational,1.2,1,8,1.0,0.0,0.6875,0.47349845721313644,0.7372341486413416,0.15826948670504298,0.04180634329245528,0.125,0.04051655863676443,0.625,0.409375,0.1739865528049924,0.8185518461416825,1.0,0.05,0.125,0.0,0.0,0.875,0.0,0.25,0.625,anchor06_fridge_lunchbox,"The fridge stands open beside a lunchbox, a grocery list, and a quiet kettle."
naive,0.0,1,8,1.0,0.0,0.9375,0.05371020432341284,0.6670876906312816,0.01928052074918075,0.05727976532378065,0.08333333333333333,0.05063773217494256,0.041666666666666664,0.0,0.131921779675582,0.6814328309339164,1.0,0.0,0.25,0.75,0.0,0.0,0.0,0.75,1.0,anchor07_elevator_button,"The elevator button is cracked near an office key, a security camera, and the hallway carpet."
naive,0.6,1,8,1.0,0.0,0.875,0.13499650623912343,0.6984865403714323,0.0522684235222988,0.054177137275132826,0.41666666666666663,0.2458833708096589,0.3333333333333333,0.05,0.09591513951118207,0.7084031783628557,1.0,0.0,0.375,0.125,0.25,0.25,0.0,0.625,0.875,anchor07_elevator_button,"The elevator button is cracked near an office key, a security camera, and the hallway carpet."
naive,1.2,1,8,1.0,0.0,0.75,0.287938146648673,0.689718693732456,0.08133825692830829,0.05132921182736329,0.041666666666666664,0.0,0.375,0.21875,0.08529801570390652,0.7489734831832204,1.0,0.1,0.0,0.375,0.125,0.5,0.0,0.625,0.75,anchor07_elevator_button,"The elevator button is cracked near an office key, a security camera, and the hallway carpet."
operational,0.0,1,8,1.0,0.0,0.96875,0.19870915278806806,0.6803667664693107,0.0702525585156912,0.060839418989632084,0.041666666666666664,0.025702798674078528,0.041666666666666664,0.0,0.08958261151235986,0.6678742762613731,1.0,0.0,0.125,0.625,0.25,0.0,0.0,0.875,1.0,anchor07_elevator_button,"The elevator button is cracked near an office key, a security camera, and the hallway carpet."
operational,0.6,1,8,1.0,0.0,0.84375,0.2499376056706517,0.7027313389807279,0.09536726580490196,0.07065631145282754,0.0,0.0,0.041666666666666664,0.05,0.14015818326163154,0.6249029278488584,0.9645833333333333,0.0,0.0,0.625,0.25,0.125,0.0,0.625,0.875,anchor07_elevator_button,"The elevator button is cracked near an office key, a security camera, and the hallway carpet."
operational,1.2,1,8,1.0,0.0,0.71875,0.38553904803901595,0.731590438501945,0.1232798153089673,0.052674971636161305,0.041666666666666664,0.01669806484896382,0.375,0.3375,0.07696100438791594,0.7341754079254079,0.9859375,0.05,0.0,0.125,0.375,0.5,0.0,0.25,0.75,anchor07_elevator_button,"The elevator button is cracked near an office key, a security camera, and the hallway carpet."
naive,0.0,1,8,1.0,0.0,1.0,0.04170393585430515,0.6456084049148634,0.014833328646412527,0.041666338500861586,0.5833333333333333,0.3698967968738754,0.25,0.1,0.2985153668256694,0.72591344997595,1.0,0.0,0.75,0.0,0.0,0.25,0.0,1.0,1.0,anchor08_phone_charger,A phone charger coils beneath the desk lamp beside the keyboard and a line of dust.
naive,0.6,1,8,1.0,0.0,0.96875,0.1478293497859421,0.6170722100348877,0.019243898541188038,0.059960693648057534,0.5,0.25001704987003015,0.3333333333333333,0.15000000000000002,0.06284486417657047,0.7164578627893845,1.0,0.0,0.5,0.125,0.125,0.25,0.0,0.875,1.0,anchor08_phone_charger,A phone charger coils beneath the desk lamp beside the keyboard and a line of dust.
naive,1.2,1,8,1.0,0.0,0.78125,0.4229231680152562,0.6523030955163983,0.11883504365842815,0.043537137944657835,0.29166666666666663,0.09301868775951905,0.4583333333333333,0.35625,0.21061638364510368,0.7641631805694306,1.0,0.15000000000000002,0.0,0.0,0.375,0.625,0.0,0.375,0.875,anchor08_phone_charger,A phone charger coils beneath the desk lamp beside the keyboard and a line of dust.
operational,0.0,1,8,1.0,0.0,0.96875,0.04192449003769856,0.6587916568179201,0.013371744288600116,0.05075939179449686,0.125,0.07285174103184915,0.041666666666666664,0.0,0.19951698103483817,0.7049813003717696,1.0,0.0,0.25,0.625,0.0,0.125,0.0,0.875,1.0,anchor08_phone_charger,A phone charger coils beneath the desk lamp beside the keyboard and a line of dust.
operational,0.6,1,8,1.0,0.0,1.0,0.16273229514416257,0.6974348314094577,0.05894680954644299,0.05815872770530302,0.3333333333333333,0.18233803160814505,0.08333333333333333,0.05,0.14842740009631175,0.6846916509805492,1.0,0.0,0.375,0.375,0.25,0.0,0.0,1.0,1.0,anchor08_phone_charger,A phone charger coils beneath the desk lamp beside the keyboard and a line of dust.
operational,1.2,1,8,1.0,0.0,0.9375,0.2958796880719078,0.6770403693621956,0.09171693638945817,0.04082827193280269,0.0,0.0,0.5,0.4125,0.28289252458080816,0.7644262316630738,1.0,0.1,0.0,0.375,0.125,0.5,0.0,0.75,1.0,anchor08_phone_charger,A phone charger coils beneath the desk lamp beside the keyboard and a line of dust.
naive,0.0,1,8,1.0,0.0,0.84375,0.0015151515151515154,0.6600582324633028,0.0005140663965270205,0.0471413433900894,0.29166666666666663,0.1512820012240718,0.20833333333333331,0.05,0.09022988505747127,0.7761058156370657,1.0,0.0,0.25,0.5,0.0,0.25,0.0,0.625,0.75,anchor09_laundry_basket,The laundry basket waits by the door with a single sock near the washing machine.
naive,0.6,1,8,1.0,0.0,0.84375,0.2882949561403509,0.683430836829343,0.0971689682371548,0.04806361462913005,0.29166666666666663,0.10305891521330215,0.3333333333333333,0.190625,0.16403858781493466,0.7794249951316481,0.99296875,0.0,0.0,0.125,0.375,0.5,0.0,0.625,0.75,anchor09_laundry_basket,The laundry basket waits by the door with a single sock near the washing machine.
naive,1.2,1,8,1.0,0.0,0.84375,0.3090277777777778,0.6501894243934313,0.08778231228274029,0.03977924797312651,0.2916666666666667,0.1367616011326737,0.4166666666666667,0.26875,0.20140929012259304,0.7745551959028125,0.99296875,0.15000000000000002,0.125,0.125,0.25,0.5,0.0,0.5,0.875,anchor09_laundry_basket,The laundry basket waits by the door with a single sock near the washing machine.
operational,0.0,1,8,1.0,0.0,0.90625,0.0,0.6221335478062926,0.0,0.05074422913475964,0.0,0.0,0.0,0.0,0.30136689610373824,0.6460199287242712,0.971875,0.0,0.0,0.75,0.0,0.25,0.0,0.625,1.0,anchor09_laundry_basket,The laundry basket waits by the door with a single sock near the washing machine.
operational,0.6,1,8,1.0,0.0,1.0,0.0045860486123130385,0.667343603447788,0.0015107427765309123,0.0709373683405167,0.041666666666666664,0.02604207088139933,0.0,0.0,0.2510706571508202,0.6164114288615196,0.9294270833333333,0.0,0.125,0.75,0.0,0.125,0.0,1.0,1.0,anchor09_laundry_basket,The laundry basket waits by the door with a single sock near the washing machine.
operational,1.2,1,8,1.0,0.0,1.0,0.1396393247955748,0.721790461229545,0.047901431639709446,0.08505392363022318,0.041666666666666664,0.017298292964424148,0.08333333333333333,0.046875,0.08767515379357485,0.6055284262521105,0.9572916666666667,0.05,0.0,0.625,0.25,0.125,0.0,1.0,1.0,anchor09_laundry_basket,The laundry basket waits by the door with a single sock near the washing machine.
naive,0.0,1,8,1.0,0.0,0.84375,0.004553977624124527,0.5866863161880975,0.0008880205347285539,0.06004379524573041,0.25,0.10659122970975622,0.125,0.046875,0.15631578077770913,0.7395390222944735,0.9856770833333334,0.0,0.125,0.625,0.0,0.25,0.0,0.375,1.0,anchor10_parking_ticket,A parking ticket rests on the windshield between the side mirror and a streetlight.
naive,0.6,1,8,1.0,0.0,0.875,0.10677914491069818,0.6823675337632108,0.037803047534405054,0.04892215713068677,0.41666666666666663,0.22745832462277324,0.4583333333333333,0.140625,0.11932555748345222,0.7753666338900514,1.0,0.0,0.25,0.0,0.25,0.5,0.0,0.625,0.875,anchor10_parking_ticket,A parking ticket rests on the windshield between the side mirror and a streetlight.
naive,1.2,1,8,1.0,0.0,0.6875,0.40625,0.6333731182538647,0.10124858065487184,0.041643787312260844,0.41666666666666663,0.0761590520138834,0.625,0.29375,0.1801928596015572,0.7937401327018263,1.0,0.1,0.0,0.0,0.25,0.75,0.0,0.25,0.5,anchor10_parking_ticket,A parking ticket rests on the windshield between the side mirror and a streetlight.
operational,0.0,1,8,1.0,0.0,0.8125,0.017780493056757482,0.6714880527253779,0.005564967598911923,0.06420425219163713,0.08333333333333333,0.05499777692910549,0.0,0.0,0.1459121207898382,0.6839323462831652,0.8666666666666667,0.0,0.25,0.5,0.0,0.25,0.0,0.75,0.75,anchor10_parking_ticket,A parking ticket rests on the windshield between the side mirror and a streetlight.
operational,0.6,1,8,1.0,0.0,0.71875,0.030028081360048572,0.6655786595384134,0.005374149634963558,0.07428217093792888,0.16666666666666666,0.07686617439453303,0.041666666666666664,0.05,0.05323900549725137,0.7182960557960558,0.9291666666666667,0.05,0.25,0.25,0.0,0.5,0.0,0.375,0.625,anchor10_parking_ticket,A parking ticket rests on the windshield between the side mirror and a streetlight.
operational,1.2,1,8,1.0,0.0,0.625,0.5437500000000001,0.7429110418681962,0.19800639801134565,0.04754574087459945,0.16666666666666666,0.041640476190181394,0.41666666666666663,0.20625,0.1670746482219606,0.7920559764309764,0.99296875,0.0,0.0,0.0,0.125,0.875,0.0,0.125,0.375,anchor10_parking_ticket,A parking ticket rests on the windshield between the side mirror and a streetlight.
naive,0.0,1,8,1.0,0.0,0.96875,0.1896819916934214,0.6775531132771868,0.062603605488488,0.05984030845214751,0.3333333333333333,0.19439135131165747,0.25,0.0,0.09860802031500956,0.6936697962784919,1.0,0.0,0.5,0.125,0.25,0.125,0.0,0.875,1.0,anchor11_paper_cup,A paper cup stands beside the vending machine with a coin and a folded timetable.
naive,0.6,1,8,1.0,0.0,0.78125,0.20814709595959596,0.6450117339040317,0.051793645888281295,0.042352143051996194,0.41666666666666663,0.14577464839772186,0.20833333333333331,0.0625,0.26387779657102317,0.7548775595114268,1.0,0.05,0.25,0.0,0.125,0.625,0.0,0.5,0.625,anchor11_paper_cup,A paper cup stands beside the vending machine with a coin and a folded timetable.
naive,1.2,1,8,1.0,0.0,0.78125,0.4419444444444445,0.6570719215145019,0.14242015657561397,0.04286515160093773,0.25,0.0545337141366478,0.4583333333333333,0.203125,0.14940065927821633,0.8006585944995417,1.0,0.1,0.0,0.0,0.125,0.875,0.0,0.5,0.625,anchor11_paper_cup,A paper cup stands beside the vending machine with a coin and a folded timetable.
operational,0.0,1,8,1.0,0.0,0.84375,0.09476851851851852,0.6740055653394046,0.031343529092881066,0.08082856747554468,0.0,0.0,0.041666666666666664,0.0,0.16514350754546833,0.6684846842552709,0.85234375,0.0,0.0,0.875,0.125,0.0,0.0,0.375,1.0,anchor11_paper_cup,A paper cup stands beside the vending machine with a coin and a folded timetable.
operational,0.6,1,8,1.0,0.0,0.96875,0.0044444444444444444,0.6969102453277477,0.0008532415487062879,0.05416944050278366,0.041666666666666664,0.028468169972031526,0.041666666666666664,0.0,0.22041605591354155,0.6679888620569956,1.0,0.0,0.125,0.75,0.0,0.125,0.0,0.875,1.0,anchor11_paper_cup,A paper cup stands beside the vending machine with a coin and a folded timetable.
operational,1.2,1,8,1.0,0.0,0.875,0.20185185185185187,0.7816580975410709,0.07847224791363666,0.08795348626224384,0.041666666666666664,0.017210441125690604,0.125,0.125,0.20398615681703916,0.5811065821256038,0.8447916666666666,0.0,0.0,0.375,0.5,0.125,0.0,0.625,0.875,anchor11_paper_cup,A paper cup stands beside the vending machine with a coin and a folded timetable.
naive,0.0,1,8,1.0,0.0,0.9375,0.2052266714766715,0.6704639572401271,0.05505414230988199,0.06878605604570812,0.375,0.17582873356997908,0.29166666666666663,0.09375,0.14780738079125177,0.6588235722610722,0.9786458333333333,0.0,0.375,0.0,0.25,0.375,0.0,0.75,1.0,anchor12_apartment_key,An apartment key lies on the windowsill between a plant pot and the half-closed blinds.
naive,0.6,1,8,1.0,0.0,0.78125,0.019756615414445948,0.6710795725188429,0.006592844093754441,0.04541550844128749,0.20833333333333331,0.09792142245738333,0.29166666666666663,0.1,0.16560393327591555,0.7929290340856785,1.0,0.0,0.375,0.25,0.0,0.375,0.0,0.375,0.75,anchor12_apartment_key,An apartment key lies on the windowsill between a plant pot and the half-closed blinds.
naive,1.2,1,8,1.0,0.0,0.84375,0.25067460317460316,0.6116492864186641,0.07501886071669392,0.05438445783670533,0.29166666666666663,0.095838501971722,0.5833333333333333,0.271875,0.0645998023715415,0.7363614762983627,1.0,0.15000000000000002,0.0,0.0,0.0,1.0,0.0,0.375,1.0,anchor12_apartment_key,An apartment key lies on the windowsill between a plant pot and the half-closed blinds.
operational,0.0,1,8,1.0,0.0,0.875,0.09388227513227514,0.6862188182922792,0.03160205463532734,0.05783959272152132,0.08333333333333333,0.0390986305144138,0.041666666666666664,0.046875,0.07919960474308302,0.7218106689136634,1.0,0.0,0.125,0.625,0.125,0.125,0.0,0.625,0.875,anchor12_apartment_key,An apartment key lies on the windowsill between a plant pot and the half-closed blinds.
operational,0.6,1,8,1.0,0.0,0.875,0.08688387648909685,0.6876586196348925,0.03149813692562253,0.05668519891967942,0.08333333333333333,0.048711610523088644,0.16666666666666666,0.046875,0.11150276052449966,0.7100944477256321,1.0,0.0,0.25,0.5,0.125,0.125,0.0,0.625,0.875,anchor12_apartment_key,An apartment key lies on the windowsill between a plant pot and the half-closed blinds.
operational,1.2,1,8,1.0,0.0,0.5,0.16848969469008884,0.7078010186574362,0.04806415825429254,0.06831599670157595,0.16666666666666666,0.04361271129197807,0.29166666666666663,0.2375,0.19366609963487594,0.7398671892623505,0.8872395833333333,0.05,0.0,0.125,0.0,0.875,0.0,0.125,0.375,anchor12_apartment_key,An apartment key lies on the windowsill between a plant pot and the half-closed blinds.
