layer,left,right,cosine
11,endpoint,anti_stock,-0.5726588106099396
11,transition,transition,1.0000000000000002
11,transition,anchor,0.056167747899993826
11,transition,hygiene,0.5003952871271862
11,transition,anti_meta,0.5140499778904914
11,transition,anti_stock,0.2936073895018431
11,anchor,anchor,0.9999999999999998
11,anchor,hygiene,-0.3462283725895032
11,anchor,anti_meta,-0.4114687926410994
11,anchor,anti_stock,-0.34464641157330356
11,hygiene,hygiene,1.0
11,hygiene,anti_meta,0.902255239833326
11,hygiene,anti_stock,0.5950824068296727
11,anti_meta,anti_meta,1.0000000000000002
11,anti_meta,anti_stock,0.6508712602510172
11,anti_stock,anti_stock,1.0
12,endpoint,endpoint,1.0000000000000002
12,endpoint,transition,-0.28695997426436526
12,endpoint,anchor,0.43286171945382057
12,endpoint,hygiene,-0.621645509754186
12,endpoint,anti_meta,-0.774879463840507
12,endpoint,anti_stock,-0.5666615117901741
12,transition,transition,1.0
12,transition,anchor,0.07392630609427624
12,transition,hygiene,0.4811290536955973
12,transition,anti_meta,0.49820507644005263
12,transition,anti_stock,0.294366217900882
12,anchor,anchor,0.9999999999999998
12,anchor,hygiene,-0.3296635364125484
12,anchor,anti_meta,-0.4037364928884978
12,anchor,anti_stock,-0.32455898938720434
12,hygiene,hygiene,1.0
12,hygiene,anti_meta,0.8930936429452159
12,hygiene,anti_stock,0.5869532362102852
12,anti_meta,anti_meta,1.0000000000000002
12,anti_meta,anti_stock,0.6512381713090006
12,anti_stock,anti_stock,1.0
13,endpoint,endpoint,0.9999999999999998
13,endpoint,transition,-0.28083755990766895
13,endpoint,anchor,0.41214760749579
13,endpoint,hygiene,-0.6044908387863579
13,endpoint,anti_meta,-0.7661370482312241
13,endpoint,anti_stock,-0.5491229026471062
13,transition,transition,0.9999999999999998
13,transition,anchor,0.09523596746887442
13,transition,hygiene,0.4716598332358477
13,transition,anti_meta,0.48310495289942434
13,transition,anti_stock,0.26906164246657616
13,anchor,anchor,1.0
13,anchor,hygiene,-0.31031146903171775
13,anchor,anti_meta,-0.38991166435465646
13,anchor,anti_stock,-0.3284480736202
13,hygiene,hygiene,1.0000000000000002
13,hygiene,anti_meta,0.8768669503519496
13,hygiene,anti_stock,0.5658075460621046
13,anti_meta,anti_meta,0.9999999999999999
13,anti_meta,anti_stock,0.6368253108554424
13,anti_stock,anti_stock,1.0000000000000002
14,endpoint,endpoint,1.0
14,endpoint,transition,-0.2274314784329266
14,endpoint,anchor,0.3444279517819849
14,endpoint,hygiene,-0.5709958601872666
14,endpoint,anti_meta,-0.7209098663739391
14,endpoint,anti_stock,-0.48830985706501095
14,transition,transition,1.0000000000000002
14,transition,anchor,0.15266216458292023
14,transition,hygiene,0.41514225382818026
14,transition,anti_meta,0.42930315963541804
14,transition,anti_stock,0.23467912889848697
14,anchor,anchor,1.0
14,anchor,hygiene,-0.2599728351304668
14,anchor,anti_meta,-0.33761141405567807
14,anchor,anti_stock,-0.2531692720167391
14,hygiene,hygiene,1.0
14,hygiene,anti_meta,0.8606172562784157
14,hygiene,anti_stock,0.5163722834443304
14,anti_meta,anti_meta,1.0000000000000002
14,anti_meta,anti_stock,0.5965762706023094
14,anti_stock,anti_stock,0.9999999999999998
15,endpoint,endpoint,0.9999999999999998
15,endpoint,transition,-0.2143008735024902
15,endpoint,anchor,0.32256241153697085
15,endpoint,hygiene,-0.5339172617003066
15,endpoint,anti_meta,-0.6972259691026405
15,endpoint,anti_stock,-0.4486141608094565
15,transition,transition,1.0000000000000002
15,transition,anchor,0.18053620188184305
15,transition,hygiene,0.3908932168166378
15,transition,anti_meta,0.4016536903385573
15,transition,anti_stock,0.19727463733899078
15,anchor,anchor,1.0
15,anchor,hygiene,-0.22673497342944401
15,anchor,anti_meta,-0.30361414357043326
15,anchor,anti_stock,-0.22042538755523222
15,hygiene,hygiene,1.0
15,hygiene,anti_meta,0.8451562517910464
15,hygiene,anti_stock,0.46451866256316215
15,anti_meta,anti_meta,1.0
15,anti_meta,anti_stock,0.5432468937012324
15,anti_stock,anti_stock,1.0
16,endpoint,endpoint,0.9999999999999998
16,endpoint,transition,-0.18262621608568202
16,endpoint,anchor,0.3231685730120545
16,endpoint,hygiene,-0.5058768315212447
16,endpoint,anti_meta,-0.6775980515847881
16,endpoint,anti_stock,-0.42233560652222907
16,transition,transition,1.0000000000000002
16,transition,anchor,0.21167539970001956
16,transition,hygiene,0.3785583966854758
16,transition,anti_meta,0.3755918259066899
16,transition,anti_stock,0.17496976592786295
16,anchor,anchor,1.0
16,anchor,hygiene,-0.21221136885956965
16,anchor,anti_meta,-0.29062075503676615
16,anchor,anti_stock,-0.21018503999933294
16,hygiene,hygiene,1.0
16,hygiene,anti_meta,0.8304171385317173
16,hygiene,anti_stock,0.4258605566112269
16,anti_meta,anti_meta,0.9999999999999998
16,anti_meta,anti_stock,0.5127398838040421
16,anti_stock,anti_stock,0.9999999999999999
